what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.adobe.flexbuilder.services.StaticContentService,4.0.1.277662,com.adobe.flexbuilder.services.StaticContentService,1283989896320
stopped,bundle,com.adobe.flexbuilder.DCDService,4.0.1.277662,com.adobe.flexbuilder.DCDService,1283989896320
stopped,bundle,com.adobe.flexbuilder.axis2,4.0.1.277662,com.adobe.flexbuilder.axis2,1283989896320
stopped,bundle,com.adobe.flexbuilder.dcrad.derived,4.0.1.277662,com.adobe.flexbuilder.dcrad.derived,1283989896320
stopped,bundle,com.adobe.flexbuilder.multisdk,4.0.1.277662,com.adobe.flexbuilder.multisdk,1283989896320
stopped,bundle,com.adobe.flexbuilder.ui,4.0.1.277662,com.adobe.flexbuilder.ui,1283989896320
stopped,bundle,com.adobe.flexide.playerview,4.0.1.277662,com.adobe.flexide.playerview,1283989896320
stopped,bundle,com.adobe.flexide.embeddedplayer,4.0.1.277662,com.adobe.flexide.embeddedplayer,1283989896320
stopped,bundle,com.adobe.flexbuilder.project,4.0.1.277662,com.adobe.flexbuilder.project,1283989896323
stopped,bundle,com.adobe.flexbuilder.editors.derived,4.0.1.277662,com.adobe.flexbuilder.editors.derived,1283989896323
stopped,bundle,com.adobe.flexbuilder.flexunit.derived,4.0.1.277662,com.adobe.flexbuilder.flexunit.derived,1283989896323
stopped,bundle,com.adobe.flexbuilder.help,4.0.1.277662,com.adobe.flexbuilder.help,1283989896323
stopped,bundle,com.adobe.flexbuilder.json,4.0.1.277662,com.adobe.flexbuilder.json,1283989896323
stopped,bundle,com.adobe.flexbuilder.services.WEBService.derived,4.0.1.277662,com.adobe.flexbuilder.services.WEBService.derived,1283989896323
stopped,bundle,com.adobe.flexide.amt,4.0.1.277662,com.adobe.flexide.amt,1283989896334
stopped,bundle,com.adobe.flexide.communityhelp,4.0.1.277662,com.adobe.flexide.communityhelp,1283989896335
stopped,bundle,com.adobe.flexbuilder.utils.osnative,4.0.1.277662,com.adobe.flexbuilder.utils.osnative,1283989896335
stopped,bundle,com.adobe.flexide.nativelibs,4.0.1.277662,com.adobe.flexide.nativelibs,1283989896344
stopped,bundle,com.adobe.model.core,1.0.2.v20100315273147,com.adobe.model.core,1283989896344
stopped,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,com.android.ide.eclipse.adt,1283989896344
stopped,bundle,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,com.android.ide.eclipse.ddms,1283989896344
stopped,bundle,com.elementriver.peerreview,1.1.0.v07152010,com.elementriver.peerreview,1283989896344
stopped,bundle,com.elementriver.core,1.1.0.v07152010,com.elementriver.core,1283989896344
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1283989896344
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1283989896344
