what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.4.2.M20090127-1700,org.eclipse.ui.workbench,1283989893435
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1283989893435
started,bundle,org.eclipse.update.configurator,3.2.201.R34x_v20080819,org.eclipse.update.configurator,1283989893435
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1283989893435
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1283989893435
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1283989895834
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1283989895839
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1283989895850
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283989895932
stopped,bundle,com.adobe.flexbuilder.services.CFService,4.0.1.277662,com.adobe.flexbuilder.services.CFService,1283989896305
stopped,bundle,com.adobe.flexbuilder.services.BlazeDSService,4.0.1.277662,com.adobe.flexbuilder.services.BlazeDSService,1283989896305
stopped,bundle,com.adobe.flexbuilder.services.LCDSService,4.0.1.277662,com.adobe.flexbuilder.services.LCDSService,1283989896305
stopped,bundle,com.adobe.flexbuilder.services.WEBService,4.0.1.277662,com.adobe.flexbuilder.services.WEBService,1283989896305
stopped,bundle,com.adobe.flexbuilder.services.J2EEService,4.0.1.277662,com.adobe.flexbuilder.services.J2EEService,1283989896305
stopped,bundle,com.adobe.coldfusion.rds.client,1.0.272885,com.adobe.coldfusion.rds.client,1283989896305
stopped,bundle,com.adobe.flexbuilder.debug.ui,4.0.1.277662,com.adobe.flexbuilder.debug.ui,1283989896306
stopped,bundle,com.adobe.flexbuilder.ajaxbridge,4.0.1.277662,com.adobe.flexbuilder.ajaxbridge,1283989896306
stopped,bundle,com.elementriver.sourcemate,1.1.0.v07152010,com.elementriver.sourcemate,1283989896306
stopped,bundle,com.adobe.flexbuilder.dcrad,4.0.1.277662,com.adobe.flexbuilder.dcrad,1283989896308
stopped,bundle,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,com.adobe.flexbuilder.mxml.editor,1283989896312
stopped,bundle,com.adobe.flexbuilder.css.editor,4.0.1.277662,com.adobe.flexbuilder.css.editor,1283989896312
stopped,bundle,com.adobe.flexbuilder.flashbridge,4.0.1.277662,com.adobe.flexbuilder.flashbridge,1283989896312
stopped,bundle,com.adobe.flexbuilder.flexunit,4.0.1.277662,com.adobe.flexbuilder.flexunit,1283989896312
stopped,bundle,com.adobe.flexbuilder.as.editor,4.0.1.277662,com.adobe.flexbuilder.as.editor,1283989896312
stopped,bundle,com.adobe.flexbuilder.exportimport,4.0.1.277662,com.adobe.flexbuilder.exportimport,1283989896313
